Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales , COGS , Profit ,Date,Month Number, Month Name ,Year,,
Channel Partners,Germany, VTT , None ,2838, $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 "," $709,500.00 "," $(675,444.00)",4/1/2014,4, April ,2014,,
Midmarket,France, VTT , None ,2178, $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $544,500.00 "," $(511,830.00)",6/1/2014,6, June ,2014,,
Midmarket,Germany, VTT , None ,888, $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $222,000.00 "," $(208,680.00)",6/1/2014,6, June ,2014,,
Government,France, VTT , None ,1527, $250.00 , $350.00 ," $534,450.00 ", $-   ," $534,450.00 "," $381,750.00 "," $152,700.00 ",9/1/2013,9, September ,2013,,
Small Business,France, VTT , None ,2151, $250.00 , $300.00 ," $645,300.00 ", $-   ," $645,300.00 "," $537,750.00 "," $107,550.00 ",9/1/2014,9, September ,2014,,
Government,Canada, VTT , None ,1817, $250.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $454,250.00 "," $(417,910.00)",12/1/2014,12, December ,2014,,
Government,France, Amarilla , None ,2750, $260.00 , $350.00 ," $962,500.00 ", $-   ," $962,500.00 "," $715,000.00 "," $247,500.00 ",2/1/2014,2, February ,2014,,
Channel Partners,USA, Amarilla , None ,1953, $260.00 , $12.00 ," $23,436.00 ", $-   ," $23,436.00 "," $507,780.00 "," $(484,344.00)",4/1/2014,4, April ,2014,,
Enterprise,Germany, Amarilla , None ,4219.5, $260.00 , $125.00 ," $527,437.50 ", $-   ," $527,437.50 "," $1,097,070.00 "," $(569,632.50)",4/1/2014,4, April ,2014,,
Government,France, Amarilla , None ,1899, $260.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $493,740.00 "," $(455,760.00)",6/1/2014,6, June ,2014,,
Government,Germany, Amarilla , None ,1686, $260.00 , $7.00 ," $11,802.00 ", $-   ," $11,802.00 "," $438,360.00 "," $(426,558.00)",7/1/2014,7, July ,2014,,
Channel Partners,USA, Amarilla , None ,2141, $260.00 , $12.00 ," $25,692.00 ", $-   ," $25,692.00 "," $556,660.00 "," $(530,968.00)",8/1/2014,8, August ,2014,,
Government,USA, Amarilla , None ,1143, $260.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $297,180.00 "," $(289,179.00)",10/1/2014,10, October ,2014,,
Midmarket,USA, Amarilla , None ,615, $260.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $159,900.00 "," $(150,675.00)",12/1/2014,12, December ,2014,,
Government,France, Paseo , Low ,3945, $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 "," $39,450.00 "," $(12,111.15)",1/1/2014,1, January ,2014,,
Midmarket,France, Paseo , Low ,2296, $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 "," $22,960.00 "," $11,135.60 ",2/1/2014,2, February ,2014,,
Government,France, Paseo , Low ,1030, $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $10,300.00 "," $(3,162.10)",5/1/2014,5, May ,2014,,
Government,France, Velo , Low ,639, $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 "," $76,680.00 "," $(72,251.73)",11/1/2014,11, November ,2014,,
Government,Canada, VTT , Low ,1326, $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $331,500.00 "," $(322,310.82)",3/1/2014,3, March ,2014,,
Channel Partners,USA, Carretera , Low ,1858, $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 "," $5,574.00 "," $16,499.04 ",2/1/2014,2, February ,2014,,
Government,Mexico, Carretera , Low ,1210, $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 "," $3,630.00 "," $415,635.00 ",3/1/2014,3, March ,2014,,
Government,USA, Carretera , Low ,2529, $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 "," $7,587.00 "," $9,938.97 ",7/1/2014,7, July ,2014,,
Channel Partners,Canada, Carretera , Low ,1445, $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 "," $4,335.00 "," $12,831.60 ",9/1/2014,9, September ,2014,,
Enterprise,USA, Carretera , Low ,330, $3.00 , $125.00 ," $41,250.00 ", $412.50 ," $40,837.50 ", $990.00 ," $39,847.50 ",9/1/2013,9, September ,2013,,
Channel Partners,France, Carretera , Low ,2671, $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 "," $8,013.00 "," $23,718.48 ",9/1/2014,9, September ,2014,,
Channel Partners,Germany, Carretera , Low ,766, $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10, October ,2013,,
Small Business,Mexico, Carretera , Low ,494, $3.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $1,482.00 "," $145,236.00 ",10/1/2013,10, October ,2013,,
Government,Mexico, Carretera , Low ,1397, $3.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $4,191.00 "," $479,869.50 ",10/1/2014,10, October ,2014,,
Government,France, Carretera , Low ,2155, $3.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $6,465.00 "," $740,242.50 ",12/1/2014,12, December ,2014,,
Midmarket,Mexico, Montana , Low ,2214, $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $11,070.00 "," $21,807.90 ",3/1/2014,3, March ,2014,,
Small Business,USA, Montana , Low ,2301, $5.00 , $300.00 ," $690,300.00 "," $6,903.00 "," $683,397.00 "," $11,505.00 "," $671,892.00 ",4/1/2014,4, April ,2014,,
Government,France, Montana , Low ,1375.5, $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 "," $6,877.50 "," $20,357.40 ",7/1/2014,7, July ,2014,,
Government,Canada, Montana , Low ,1830, $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 "," $9,150.00 "," $3,531.90 ",8/1/2014,8, August ,2014,,
Small Business,USA, Montana , Low ,2498, $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 "," $12,490.00 "," $729,416.00 ",9/1/2013,9, September ,2013,,
Enterprise,USA, Montana , Low ,663, $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $3,315.00 "," $78,731.25 ",10/1/2013,10, October ,2013,,
Midmarket,USA, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 "," $15,140.00 "," $7,342.90 ",2/1/2014,2, February ,2014,,
Government,USA, Paseo , Low ,4492.5, $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.03 "," $44,925.00 "," $(13,791.98)",4/1/2014,4, April ,2014,,
Enterprise,USA, Paseo , Low ,727, $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $7,270.00 "," $82,696.25 ",6/1/2014,6, June ,2014,,
Enterprise,France, Paseo , Low ,787, $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $7,870.00 "," $89,521.25 ",6/1/2014,6, June ,2014,,
Enterprise,Mexico, Paseo , Low ,1823, $10.00 , $125.00 ," $227,875.00 "," $2,278.75 "," $225,596.25 "," $18,230.00 "," $207,366.25 ",7/1/2014,7, July ,2014,,
Midmarket,Germany, Paseo , Low ,747, $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 "," $7,470.00 "," $3,622.95 ",9/1/2014,9, September ,2014,,
Channel Partners,Germany, Paseo , Low ,766, $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $7,660.00 "," $1,440.08 ",10/1/2013,10, October ,2013,,
Small Business,USA, Paseo , Low ,2905, $10.00 , $300.00 ," $871,500.00 "," $8,715.00 "," $862,785.00 "," $29,050.00 "," $833,735.00 ",11/1/2014,11, November ,2014,,
Government,France, Paseo , Low ,2155, $10.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $21,550.00 "," $725,157.50 ",12/1/2014,12, December ,2014,,
Government,France, Velo , Low ,3864, $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $463,680.00 "," $(387,172.80)",4/1/2014,4, April ,2014,,
Government,Mexico, Velo , Low ,362, $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $43,440.00 "," $(40,931.34)",5/1/2014,5, May ,2014,,
Enterprise,Canada, Velo , Low ,923, $120.00 , $125.00 ," $115,375.00 "," $1,153.75 "," $114,221.25 "," $110,760.00 "," $3,461.25 ",8/1/2014,8, August ,2014,,
Enterprise,USA, Velo , Low ,663, $120.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 "," $79,560.00 "," $2,486.25 ",10/1/2013,10, October ,2013,,
Government,Canada, Velo , Low ,2092, $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 "," $251,040.00 "," $(236,542.44)",11/1/2013,11, November ,2013,,
Government,Germany, VTT , Low ,263, $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $65,750.00 "," $(63,927.41)",3/1/2014,3, March ,2014,,
Government,Canada, VTT , Low ,943.5, $250.00 , $350.00 ," $330,225.00 "," $3,302.25 "," $326,922.75 "," $235,875.00 "," $91,047.75 ",4/1/2014,4, April ,2014,,
Enterprise,USA, VTT , Low ,727, $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $181,750.00 "," $(91,783.75)",6/1/2014,6, June ,2014,,
Enterprise,France, VTT , Low ,787, $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $196,750.00 "," $(99,358.75)",6/1/2014,6, June ,2014,,
Small Business,Germany, VTT , Low ,986, $250.00 , $300.00 ," $295,800.00 "," $2,958.00 "," $292,842.00 "," $246,500.00 "," $46,342.00 ",9/1/2014,9, September ,2014,,
Small Business,Mexico, VTT , Low ,494, $250.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",10/1/2013,10, October ,2013,,
Government,Mexico, VTT , Low ,1397, $250.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $349,250.00 "," $134,810.50 ",10/1/2014,10, October ,2014,,
Enterprise,France, VTT , Low ,1744, $250.00 , $125.00 ," $218,000.00 "," $2,180.00 "," $215,820.00 "," $436,000.00 "," $(220,180.00)",11/1/2014,11, November ,2014,,
Channel Partners,USA, Amarilla , Low ,1989, $260.00 , $12.00 ," $23,868.00 ", $238.68 ," $23,629.32 "," $517,140.00 "," $(493,510.68)",9/1/2013,9, September ,2013,,
Midmarket,France, Amarilla , Low ,321, $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 "," $83,460.00 "," $(78,693.15)",11/1/2013,11, November ,2013,,
Enterprise,Canada, Carretera , Low ,742.5, $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $2,227.50 "," $88,728.75 ",4/1/2014,4, April ,2014,,
Channel Partners,Canada, Carretera , Low ,1295, $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2014,10, October ,2014,,
Small Business,Germany, Carretera , Low ,214, $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 ", $642.00 ," $62,274.00 ",10/1/2013,10, October ,2013,,
Government,France, Carretera , Low ,2145, $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 "," $6,435.00 "," $8,279.70 ",11/1/2013,11, November ,2013,,
Government,Canada, Carretera , Low ,2852, $3.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $8,556.00 "," $969,680.00 ",12/1/2014,12, December ,2014,,
Channel Partners,USA, Montana , Low ,1142, $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $5,710.00 "," $7,719.92 ",6/1/2014,6, June ,2014,,
Government,USA, Montana , Low ,1566, $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $7,830.00 "," $22,863.60 ",10/1/2014,10, October ,2014,,
Channel Partners,Mexico, Montana , Low ,690, $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 "," $3,450.00 "," $4,664.40 ",11/1/2014,11, November ,2014,,
Enterprise,Mexico, Montana , Low ,1660, $5.00 , $125.00 ," $207,500.00 "," $4,150.00 "," $203,350.00 "," $8,300.00 "," $195,050.00 ",11/1/2013,11, November ,2013,,
Midmarket,Canada, Paseo , Low ,2363, $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $23,630.00 "," $11,106.10 ",2/1/2014,2, February ,2014,,
Small Business,France, Paseo , Low ,918, $10.00 , $300.00 ," $275,400.00 "," $5,508.00 "," $269,892.00 "," $9,180.00 "," $260,712.00 ",5/1/2014,5, May ,2014,,
Small Business,Germany, Paseo , Low ,1728, $10.00 , $300.00 ," $518,400.00 "," $10,368.00 "," $508,032.00 "," $17,280.00 "," $490,752.00 ",5/1/2014,5, May ,2014,,
Channel Partners,USA, Paseo , Low ,1142, $10.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $11,420.00 "," $2,009.92 ",6/1/2014,6, June ,2014,,
Enterprise,Mexico, Paseo , Low ,662, $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $6,620.00 "," $74,475.00 ",6/1/2014,6, June ,2014,,
Channel Partners,Canada, Paseo , Low ,1295, $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $12,950.00 "," $2,279.20 ",10/1/2014,10, October ,2014,,
Enterprise,Germany, Paseo , Low ,809, $10.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $8,090.00 "," $91,012.50 ",10/1/2013,10, October ,2013,,
Enterprise,Mexico, Paseo , Low ,2145, $10.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $21,450.00 "," $241,312.50 ",10/1/2013,10, October ,2013,,
Channel Partners,France, Paseo , Low ,1785, $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 "," $17,850.00 "," $3,141.60 ",11/1/2013,11, November ,2013,,
Small Business,Canada, Paseo , Low ,1916, $10.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $19,160.00 "," $544,144.00 ",12/1/2014,12, December ,2014,,
Government,Canada, Paseo , Low ,2852, $10.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $28,520.00 "," $949,716.00 ",12/1/2014,12, December ,2014,,
Enterprise,Canada, Paseo , Low ,2729, $10.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $27,290.00 "," $307,012.50 ",12/1/2014,12, December ,2014,,
Midmarket,USA, Paseo , Low ,1925, $10.00 , $15.00 ," $28,875.00 ", $577.50 ," $28,297.50 "," $19,250.00 "," $9,047.50 ",12/1/2013,12, December ,2013,,
Government,USA, Paseo , Low ,2013, $10.00 , $7.00 ," $14,091.00 ", $281.82 ," $13,809.18 "," $20,130.00 "," $(6,320.82)",12/1/2013,12, December ,2013,,
Channel Partners,France, Paseo , Low ,1055, $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $10,550.00 "," $1,856.80 ",12/1/2014,12, December ,2014,,
Channel Partners,Mexico, Paseo , Low ,1084, $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $10,840.00 "," $1,907.84 ",12/1/2014,12, December ,2014,,
Government,USA, Velo , Low ,1566, $120.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $187,920.00 "," $(157,226.40)",10/1/2014,10, October ,2014,,
Government,Germany, Velo , Low ,2966, $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $355,920.00 "," $661,418.00 ",10/1/2013,10, October ,2013,,
Government,Germany, Velo , Low ,2877, $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $345,240.00 "," $641,571.00 ",10/1/2014,10, October ,2014,,
Enterprise,Germany, Velo , Low ,809, $120.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",10/1/2013,10, October ,2013,,
Enterprise,Mexico, Velo , Low ,2145, $120.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",10/1/2013,10, October ,2013,,
Channel Partners,France, Velo , Low ,1055, $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 "," $126,600.00 "," $(114,193.20)",12/1/2014,12, December ,2014,,
Government,Mexico, Velo , Low ,544, $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 "," $65,280.00 "," $(54,617.60)",12/1/2013,12, December ,2013,,
Channel Partners,Mexico, Velo , Low ,1084, $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $130,080.00 "," $(117,332.16)",12/1/2014,12, December ,2014,,
Enterprise,Mexico, VTT , Low ,662, $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $165,500.00 "," $(84,405.00)",6/1/2014,6, June ,2014,,
Small Business,Germany, VTT , Low ,214, $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",10/1/2013,10, October ,2013,,
Government,Germany, VTT , Low ,2877, $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $719,250.00 "," $267,561.00 ",10/1/2014,10, October ,2014,,
Enterprise,Canada, VTT , Low ,2729, $250.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $682,250.00 "," $(347,947.50)",12/1/2014,12, December ,2014,,
Government,USA, VTT , Low ,266, $250.00 , $350.00 ," $93,100.00 "," $1,862.00 "," $91,238.00 "," $66,500.00 "," $24,738.00 ",12/1/2013,12, December ,2013,,
Government,Mexico, VTT , Low ,1940, $250.00 , $350.00 ," $679,000.00 "," $13,580.00 "," $665,420.00 "," $485,000.00 "," $180,420.00 ",12/1/2013,12, December ,2013,,
Small Business,Germany, Amarilla , Low ,259, $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $67,340.00 "," $8,806.00 ",3/1/2014,3, March ,2014,,
Small Business,Mexico, Amarilla , Low ,1101, $260.00 , $300.00 ," $330,300.00 "," $6,606.00 "," $323,694.00 "," $286,260.00 "," $37,434.00 ",3/1/2014,3, March ,2014,,
Enterprise,Germany, Amarilla , Low ,2276, $260.00 , $125.00 ," $284,500.00 "," $5,690.00 "," $278,810.00 "," $591,760.00 "," $(312,950.00)",5/1/2014,5, May ,2014,,
Government,Germany, Amarilla , Low ,2966, $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",10/1/2013,10, October ,2013,,
Government,USA, Amarilla , Low ,1236, $260.00 , $20.00 ," $24,720.00 ", $494.40 ," $24,225.60 "," $321,360.00 "," $(297,134.40)",11/1/2014,11, November ,2014,,
Government,France, Amarilla , Low ,941, $260.00 , $20.00 ," $18,820.00 ", $376.40 ," $18,443.60 "," $244,660.00 "," $(226,216.40)",11/1/2014,11, November ,2014,,
Small Business,Canada, Amarilla , Low ,1916, $260.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 "," $498,160.00 "," $65,144.00 ",12/1/2014,12, December ,2014,,
Enterprise,France, Carretera , Low ,4243.5, $3.00 , $125.00 ," $530,437.50 "," $15,913.13 "," $514,524.38 "," $12,730.50 "," $501,793.88 ",4/1/2014,4, April ,2014,,
Government,Germany, Carretera , Low ,2580, $3.00 , $20.00 ," $51,600.00 "," $1,548.00 "," $50,052.00 "," $7,740.00 "," $42,312.00 ",4/1/2014,4, April ,2014,,
Small Business,Germany, Carretera , Low ,689, $3.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $2,067.00 "," $198,432.00 ",6/1/2014,6, June ,2014,,
Channel Partners,USA, Carretera , Low ,1947, $3.00 , $12.00 ," $23,364.00 ", $700.92 ," $22,663.08 "," $5,841.00 "," $16,822.08 ",9/1/2014,9, September ,2014,,
Channel Partners,Canada, Carretera , Low ,908, $3.00 , $12.00 ," $10,896.00 ", $326.88 ," $10,569.12 "," $2,724.00 "," $7,845.12 ",12/1/2013,12, December ,2013,,
