Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany,Paseo,"Government,Germany,Paseo",None,36,14,22,792,7.92,784.08,504,280.08,45469,6,Jun,2024
Government,Mexico,Velo,"Government,Mexico,Velo",None,418,18,33,13794,689.7,13104.3,7524,5580.3,45526,8,Aug,2024
Enterprise,France,Velo,"Enterprise,France,Velo",None,482,16,20,9640,482,9158,7712,1446,45430,5,May,2024
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,983,13,26,25558,1277.9,24280.1,12779,11501.1,45693,2,Feb,2025
Government,Germany,Velo,"Government,Germany,Velo",None,282,11,30,8460,423,8037,3102,4935,45066,5,May,2023
Channel Partners,Germany,Velo,"Channel Partners,Germany,Velo",None,521,13,26,13546,677.3,12868.7,6773,6095.7,45322,1,Jan,2024
Enterprise,USA,Velo,"Enterprise,USA,Velo",None,311,12,36,11196,559.8,10636.2,3732,6904.2,45116,7,Jul,2023
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",None,549,16,28,15372,768.6,14603.4,8784,5819.4,45464,6,Jun,2024
Small Business,Canada,VTT,"Small Business,Canada,VTT",None,297,16,16,4752,237.6,4514.4,4752,-237.6,45168,8,Aug,2023
Channel Partners,Germany,VTT,"Channel Partners,Germany,VTT",None,159,15,25,3975,198.75,3776.25,2385,1391.25,45372,3,Mar,2024
Midmarket,France,VTT,"Midmarket,France,VTT",None,487,14,30,14610,730.5,13879.5,6818,7061.5,45457,6,Jun,2024
Midmarket,Germany,VTT,"Midmarket,Germany,VTT",None,162,14,31,5022,251.1,4770.9,2268,2502.9,45704,2,Feb,2025
Government,France,VTT,"Government,France,VTT",None,826,20,23,18998,949.9,18048.1,16520,1528.1,45758,4,Apr,2025
Small Business,France,VTT,"Small Business,France,VTT",None,457,18,30,13710,685.5,13024.5,8226,4798.5,45085,6,Jun,2023
Government,Canada,VTT,"Government,Canada,VTT",None,558,15,36,20088,1004.4,19083.6,8370,10713.6,45686,1,Jan,2025
Government,France,Amarilla,"Government,France,Amarilla",None,11,19,19,209,2.09,206.91,209,-2.09,45657,12,Dec,2024
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,180,15,34,6120,306,5814,2700,3114,45497,7,Jul,2024
Enterprise,Germany,Amarilla,"Enterprise,Germany,Amarilla",None,226,10,19,4294,214.7,4079.3,2260,1819.3,45376,3,Mar,2024
Government,France,Amarilla,"Government,France,Amarilla",None,917,19,19,17423,871.15,16551.85,17423,-871.15,45054,5,May,2023
Government,Germany,Amarilla,"Government,Germany,Amarilla",None,956,19,17,16252,812.6,15439.4,18164,-2724.6,45268,12,Dec,2023
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",None,915,15,34,31110,1555.5,29554.5,13725,15829.5,45482,7,Jul,2024
Government,USA,Amarilla,"Government,USA,Amarilla",None,691,10,19,13129,656.45,12472.55,6910,5562.55,45162,8,Aug,2023
Midmarket,USA,Amarilla,"Midmarket,USA,Amarilla",None,211,10,20,4220,211,4009,2110,1899,45446,6,Jun,2024
Government,France,Paseo,"Government,France,Paseo",Low,467,12,27,12609,630.45,11978.55,5604,6374.55,45313,1,Jan,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",Low,109,16,27,2943,147.15,2795.85,1744,1051.85,45535,8,Aug,2024
Government,France,Paseo,"Government,France,Paseo",Low,885,12,27,23895,1194.75,22700.25,10620,12080.25,45109,7,Jul,2023
Government,France,Velo,"Government,France,Velo",Low,215,19,22,4730,236.5,4493.5,4085,408.5,45237,11,Nov,2023
Government,Canada,VTT,"Government,Canada,VTT",Low,125,15,36,4500,225,4275,1875,2400,45262,12,Dec,2023
Channel Partners,USA,Carretera,"Channel Partners,USA,Carretera",Low,523,13,23,12029,601.45,11427.55,6799,4628.55,45444,6,Jun,2024
Government,Mexico,Carretera,"Government,Mexico,Carretera",Low,305,14,35,10675,533.75,10141.25,4270,5871.25,45536,9,Sep,2024
Government,USA,Carretera,"Government,USA,Carretera",Low,61,11,19,1159,57.95,1101.05,671,430.05,45165,8,Aug,2023
Channel Partners,Canada,Carretera,"Channel Partners,Canada,Carretera",Low,354,20,18,6372,318.6,6053.4,7080,-1026.6,45037,4,Apr,2023
Enterprise,USA,Carretera,"Enterprise,USA,Carretera",Low,799,17,37,29563,1478.15,28084.85,13583,14501.85,45626,11,Nov,2024
Channel Partners,France,Carretera,"Channel Partners,France,Carretera",Low,902,19,20,18040,902,17138,17138,0,45111,7,Jul,2023
Channel Partners,Germany,Carretera,"Channel Partners,Germany,Carretera",Low,605,10,34,20570,1028.5,19541.5,6050,13491.5,45678,1,Jan,2025
Small Business,Mexico,Carretera,"Small Business,Mexico,Carretera",Low,386,16,37,14282,714.1,13567.9,6176,7391.9,45431,5,May,2024
Government,Mexico,Carretera,"Government,Mexico,Carretera",Low,350,14,35,12250,612.5,11637.5,4900,6737.5,45121,7,Jul,2023
Government,France,Carretera,"Government,France,Carretera",Low,721,11,20,14420,721,13699,7931,5768,45437,5,May,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",Low,191,16,18,3438,171.9,3266.1,3056,210.1,45538,9,Sep,2024
Small Business,USA,Montana,"Small Business,USA,Montana",Low,665,11,30,19950,997.5,18952.5,7315,11637.5,45206,10,Oct,2023
Government,France,Montana,"Government,France,Montana",Low,644,12,35,22540,1127,21413,7728,13685,45586,10,Oct,2024
Government,Canada,Montana,"Government,Canada,Montana",Low,526,12,26,13676,683.8,12992.2,6312,6680.2,45471,6,Jun,2024
Small Business,USA,Montana,"Small Business,USA,Montana",Low,639,11,30,19170,958.5,18211.5,7029,11182.5,45740,3,Mar,2025
Enterprise,USA,Montana,"Enterprise,USA,Montana",Low,576,17,36,20736,1036.8,19699.2,9792,9907.2,45218,10,Oct,2023
Midmarket,USA,Paseo,"Midmarket,USA,Paseo",Low,126,13,31,3906,195.3,3710.7,1638,2072.7,45172,9,Sep,2023
Government,USA,Paseo,"Government,USA,Paseo",Low,523,20,25,13075,653.75,12421.25,10460,1961.25,45663,1,Jan,2025
Enterprise,USA,Paseo,"Enterprise,USA,Paseo",Low,913,10,31,28303,1415.15,26887.85,9130,17757.85,45050,5,May,2023
Enterprise,France,Paseo,"Enterprise,France,Paseo",Low,585,20,21,12285,614.25,11670.75,11700,-29.25,45699,2,Feb,2025
Enterprise,Mexico,Paseo,"Enterprise,Mexico,Paseo",Low,35,20,25,875,8.75,866.25,700,166.25,45367,3,Mar,2024
Midmarket,Germany,Paseo,"Midmarket,Germany,Paseo",Low,996,16,27,26892,1344.6,25547.4,15936,9611.4,45657,12,Dec,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",Low,960,16,24,23040,1152,21888,15360,6528,45730,3,Mar,2025
Small Business,USA,Paseo,"Small Business,USA,Paseo",Low,421,10,19,7999,399.95,7599.05,4210,3389.05,45453,6,Jun,2024
Government,France,Paseo,"Government,France,Paseo",Low,175,12,27,4725,236.25,4488.75,2100,2388.75,45690,2,Feb,2025
Government,France,Velo,"Government,France,Velo",Low,533,19,22,11726,586.3,11139.7,10127,1012.7,45446,6,Jun,2024
Government,Mexico,Velo,"Government,Mexico,Velo",Low,351,18,33,11583,579.15,11003.85,6318,4685.85,45655,12,Dec,2024
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",Low,482,16,28,13496,674.8,12821.2,7712,5109.2,45606,11,Nov,2024
Enterprise,USA,Velo,"Enterprise,USA,Velo",Low,655,12,36,23580,1179,22401,7860,14541,45713,2,Feb,2025
Government,Canada,Velo,"Government,Canada,Velo",Low,711,18,23,16353,817.65,15535.35,12798,2737.35,45287,12,Dec,2023
Government,Germany,VTT,"Government,Germany,VTT",Low,284,13,38,10792,539.6,10252.4,3692,6560.4,45406,4,Apr,2024
Government,Canada,VTT,"Government,Canada,VTT",Low,645,15,36,23220,1161,22059,9675,12384,45750,4,Apr,2025
Enterprise,USA,VTT,"Enterprise,USA,VTT",Low,239,13,16,3824,191.2,3632.8,3107,525.8,45174,9,Sep,2023
Enterprise,France,VTT,"Enterprise,France,VTT",Low,999,12,21,20979,1048.95,19930.05,11988,7942.05,45677,1,Jan,2025
Small Business,Germany,VTT,"Small Business,Germany,VTT",Low,596,13,16,9536,476.8,9059.2,7748,1311.2,45642,12,Dec,2024
Small Business,Mexico,VTT,"Small Business,Mexico,VTT",Low,890,10,19,16910,845.5,16064.5,8900,7164.5,45487,7,Jul,2024
Government,Mexico,VTT,"Government,Mexico,VTT",Low,169,18,19,3211,160.55,3050.45,3042,8.45,45272,12,Dec,2023
Enterprise,France,VTT,"Enterprise,France,VTT",Low,43,12,21,903,9.03,893.97,516,377.97,45546,9,Sep,2024
Channel Partners,USA,Amarilla,"Channel Partners,USA,Amarilla",Low,510,15,34,17340,867,16473,7650,8823,45070,5,May,2023
Midmarket,France,Amarilla,"Midmarket,France,Amarilla",Low,138,13,37,5106,255.3,4850.7,1794,3056.7,45431,5,May,2024
Enterprise,Canada,Carretera,"Enterprise,Canada,Carretera",Low,975,20,24,23400,1170,22230,19500,2730,45691,2,Feb,2025
Channel Partners,Canada,Carretera,"Channel Partners,Canada,Carretera",Low,684,20,18,12312,615.6,11696.4,13680,-1983.6,45733,3,Mar,2025
Small Business,Germany,Carretera,"Small Business,Germany,Carretera",Low,326,15,33,10758,537.9,10220.1,4890,5330.1,45607,11,Nov,2024
Government,France,Carretera,"Government,France,Carretera",Low,354,11,20,7080,354,6726,3894,2832,45351,2,Feb,2024
Government,Canada,Carretera,"Government,Canada,Carretera",Low,185,12,29,5365,268.25,5096.75,2220,2876.75,45690,2,Feb,2025
Channel Partners,USA,Montana,"Channel Partners,USA,Montana",Low,372,17,31,11532,576.6,10955.4,6324,4631.4,45126,7,Jul,2023
Government,USA,Montana,"Government,USA,Montana",Low,440,15,34,14960,748,14212,6600,7612,45061,5,May,2023
Channel Partners,Mexico,Montana,"Channel Partners,Mexico,Montana",Low,846,10,19,16074,803.7,15270.3,8460,6810.3,45730,3,Mar,2025
Enterprise,Mexico,Montana,"Enterprise,Mexico,Montana",Low,101,19,33,3333,166.65,3166.35,1919,1247.35,45091,6,Jun,2023
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",Low,371,17,25,9275,463.75,8811.25,6307,2504.25,45495,7,Jul,2024
Small Business,France,Paseo,"Small Business,France,Paseo",Low,335,19,28,9380,469,8911,6365,2546,45653,12,Dec,2024
Small Business,Germany,Paseo,"Small Business,Germany,Paseo",Low,305,14,16,4880,244,4636,4270,366,45401,4,Apr,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",Low,439,15,16,7024,351.2,6672.8,6585,87.8,45290,12,Dec,2023
Enterprise,Mexico,Paseo,"Enterprise,Mexico,Paseo",Low,185,20,25,4625,231.25,4393.75,3700,693.75,45508,8,Aug,2024
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",Low,34,11,21,714,7.14,706.86,374,332.86,45526,8,Aug,2024
Enterprise,Germany,Paseo,"Enterprise,Germany,Paseo",Low,615,12,31,19065,953.25,18111.75,7380,10731.75,45169,8,Aug,2023
Enterprise,Mexico,Paseo,"Enterprise,Mexico,Paseo",Low,968,20,25,24200,1210,22990,19360,3630,45265,12,Dec,2023
Channel Partners,France,Paseo,"Channel Partners,France,Paseo",Low,662,18,27,17874,893.7,16980.3,11916,5064.3,45229,10,Oct,2023
Small Business,Canada,Paseo,"Small Business,Canada,Paseo",Low,973,10,23,22379,1118.95,21260.05,9730,11530.05,45423,5,May,2024
Government,Canada,Paseo,"Government,Canada,Paseo",Low,865,17,38,32870,1643.5,31226.5,14705,16521.5,45255,11,Nov,2023
Enterprise,Canada,Paseo,"Enterprise,Canada,Paseo",Low,918,14,19,17442,872.1,16569.9,12852,3717.9,45505,8,Aug,2024
Midmarket,USA,Paseo,"Midmarket,USA,Paseo",Low,296,13,31,9176,458.8,8717.2,3848,4869.2,45327,2,Feb,2024
Government,USA,Paseo,"Government,USA,Paseo",Low,857,20,25,21425,1071.25,20353.75,17140,3213.75,45702,2,Feb,2025
Channel Partners,France,Paseo,"Channel Partners,France,Paseo",Low,810,18,27,21870,1093.5,20776.5,14580,6196.5,45132,7,Jul,2023
Channel Partners,Mexico,Paseo,"Channel Partners,Mexico,Paseo",Low,144,11,24,3456,172.8,3283.2,1584,1699.2,45120,7,Jul,2023
Government,USA,Velo,"Government,USA,Velo",Low,638,13,38,24244,1212.2,23031.8,8294,14737.8,45325,2,Feb,2024
Government,Germany,Velo,"Government,Germany,Velo",Low,551,11,30,16530,826.5,15703.5,6061,9642.5,45253,11,Nov,2023
Government,Germany,Velo,"Government,Germany,Velo",Low,92,11,30,2760,138,2622,1012,1610,45265,12,Dec,2023
Enterprise,Germany,Velo,"Enterprise,Germany,Velo",Low,197,20,38,7486,374.3,7111.7,3940,3171.7,45437,5,May,2024
Enterprise,Mexico,Velo,"Enterprise,Mexico,Velo",Low,521,12,30,15630,781.5,14848.5,6252,8596.5,45351,2,Feb,2024
Channel Partners,France,Velo,"Channel Partners,France,Velo",Low,264,18,16,4224,211.2,4012.8,4752,-739.2,45590,10,Oct,2024
Government,Mexico,Velo,"Government,Mexico,Velo",Low,318,18,33,10494,524.7,9969.3,5724,4245.3,45264,12,Dec,2023
Channel Partners,Mexico,Velo,"Channel Partners,Mexico,Velo",Low,583,16,31,18073,903.65,17169.35,9328,7841.35,45150,8,Aug,2023
Enterprise,Mexico,VTT,"Enterprise,Mexico,VTT",Low,315,11,22,6930,346.5,6583.5,3465,3118.5,45361,3,Mar,2024
Small Business,Germany,VTT,"Small Business,Germany,VTT",Low,769,13,16,12304,615.2,11688.8,9997,1691.8,45361,3,Mar,2024
Government,Germany,VTT,"Government,Germany,VTT",Low,155,13,38,5890,294.5,5595.5,2015,3580.5,45572,10,Oct,2024
Enterprise,Canada,VTT,"Enterprise,Canada,VTT",Low,919,16,36,33084,1654.2,31429.8,14704,16725.8,45028,4,Apr,2023
Government,USA,VTT,"Government,USA,VTT",Low,329,13,25,8225,411.25,7813.75,4277,3536.75,45334,2,Feb,2024
Government,Mexico,VTT,"Government,Mexico,VTT",Low,444,18,19,8436,421.8,8014.2,7992,22.2,45030,4,Apr,2023
Small Business,Germany,Amarilla,"Small Business,Germany,Amarilla",Low,615,14,26,15990,799.5,15190.5,8610,6580.5,45587,10,Oct,2024
Small Business,Mexico,Amarilla,"Small Business,Mexico,Amarilla",Low,129,13,16,2064,103.2,1960.8,1677,283.8,45527,8,Aug,2024
Enterprise,Germany,Amarilla,"Enterprise,Germany,Amarilla",Low,956,10,19,18164,908.2,17255.8,9560,7695.8,45492,7,Jul,2024
Government,Germany,Amarilla,"Government,Germany,Amarilla",Low,245,19,17,4165,208.25,3956.75,4655,-698.25,45174,9,Sep,2023
Government,USA,Amarilla,"Government,USA,Amarilla",Low,839,10,19,15941,797.05,15143.95,8390,6753.95,45245,11,Nov,2023
Government,France,Amarilla,"Government,France,Amarilla",Low,198,19,19,3762,188.1,3573.9,3762,-188.1,45376,3,Mar,2024
Small Business,Canada,Amarilla,"Small Business,Canada,Amarilla",Low,254,20,31,7874,393.7,7480.3,5080,2400.3,45126,7,Jul,2023
Enterprise,France,Carretera,"Enterprise,France,Carretera",Low,415,10,23,9545,477.25,9067.75,4150,4917.75,45532,8,Aug,2024
Government,Germany,Carretera,"Government,Germany,Carretera",Low,83,19,19,1577,78.85,1498.15,1577,-78.85,45483,7,Jul,2024
Small Business,Germany,Carretera,"Small Business,Germany,Carretera",Low,958,15,33,31614,1580.7,30033.3,14370,15663.3,45503,7,Jul,2024
Channel Partners,USA,Carretera,"Channel Partners,USA,Carretera",Low,984,13,23,22632,1131.6,21500.4,12792,8708.4,45133,7,Jul,2023
Channel Partners,Canada,Carretera,"Channel Partners,Canada,Carretera",Low,867,20,18,15606,780.3,14825.7,17340,-2514.3,45562,9,Sep,2024
Government,Germany,Montana,"Government,Germany,Montana",Low,794,16,31,24614,1230.7,23383.3,12704,10679.3,45419,5,May,2024
Channel Partners,France,Montana,"Channel Partners,France,Montana",Low,269,11,32,8608,430.4,8177.6,2959,5218.6,45516,8,Aug,2024
Government,France,Montana,"Government,France,Montana",Low,762,12,35,26670,1333.5,25336.5,9144,16192.5,45584,10,Oct,2024
Government,Germany,Montana,"Government,Germany,Montana",Low,834,16,31,25854,1292.7,24561.3,13344,11217.3,45061,5,May,2023
Enterprise,France,Montana,"Enterprise,France,Montana",Low,540,13,33,17820,891,16929,7020,9909,45284,12,Dec,2023
Enterprise,Germany,Montana,"Enterprise,Germany,Montana",Low,170,17,37,6290,314.5,5975.5,2890,3085.5,45559,9,Sep,2024
Small Business,France,Paseo,"Small Business,France,Paseo",Low,308,19,28,8624,431.2,8192.8,5852,2340.8,45613,11,Nov,2024
Enterprise,Canada,Paseo,"Enterprise,Canada,Paseo",Low,358,14,19,6802,340.1,6461.9,5012,1449.9,45271,12,Dec,2023
Channel Partners,France,Paseo,"Channel Partners,France,Paseo",Low,398,18,27,10746,537.3,10208.7,7164,3044.7,45713,2,Feb,2025
Small Business,Germany,Paseo,"Small Business,Germany,Paseo",Low,558,14,16,8928,446.4,8481.6,7812,669.6,45407,4,Apr,2024
Enterprise,Germany,Paseo,"Enterprise,Germany,Paseo",Low,914,12,31,28334,1416.7,26917.3,10968,15949.3,45427,5,May,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",Low,923,15,16,14768,738.4,14029.6,13845,184.6,45602,11,Nov,2024
Enterprise,Canada,Paseo,"Enterprise,Canada,Paseo",Low,948,14,19,18012,900.6,17111.4,13272,3839.4,45491,7,Jul,2024
Midmarket,Germany,Paseo,"Midmarket,Germany,Paseo",Low,738,16,27,19926,996.3,18929.7,11808,7121.7,45641,12,Dec,2024
Enterprise,France,Paseo,"Enterprise,France,Paseo",Low,996,20,21,20916,1045.8,19870.2,19920,-49.8,45465,6,Jun,2024
Enterprise,Germany,Paseo,"Enterprise,Germany,Paseo",Low,384,12,31,11904,595.2,11308.8,4608,6700.8,45231,11,Nov,2023
Enterprise,Canada,Velo,"Enterprise,Canada,Velo",Low,554,16,28,15512,775.6,14736.4,8864,5872.4,45677,1,Jan,2025
Small Business,USA,VTT,"Small Business,USA,VTT",Low,171,10,38,6498,324.9,6173.1,1710,4463.1,45117,7,Jul,2023
Channel Partners,Mexico,VTT,"Channel Partners,Mexico,VTT",Low,869,11,30,26070,1303.5,24766.5,9559,15207.5,45040,4,Apr,2023
Enterprise,Germany,VTT,"Enterprise,Germany,VTT",Low,330,13,27,8910,445.5,8464.5,4290,4174.5,45615,11,Nov,2024
Small Business,Canada,VTT,"Small Business,Canada,VTT",Low,745,16,16,11920,596,11324,11920,-596,45302,1,Jan,2024
Government,Mexico,VTT,"Government,Mexico,VTT",Low,997,18,19,18943,947.15,17995.85,17946,49.85,45160,8,Aug,2023
Midmarket,Germany,VTT,"Midmarket,Germany,VTT",Low,186,14,31,5766,288.3,5477.7,2604,2873.7,45461,6,Jun,2024
Government,Canada,Carretera,"Government,Canada,Carretera",Low,316,12,29,9164,458.2,8705.8,3792,4913.8,45568,10,Oct,2024
Government,Mexico,Paseo,"Government,Mexico,Paseo",Low,307,11,21,6447,322.35,6124.65,3377,2747.65,45062,5,May,2023
Government,Canada,Velo,"Government,Canada,Velo",Low,730,18,23,16790,839.5,15950.5,13140,2810.5,45310,1,Jan,2024
Channel Partners,Germany,VTT,"Channel Partners,Germany,VTT",Low,938,15,25,23450,1172.5,22277.5,14070,8207.5,45687,1,Jan,2025
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",Low,683,16,18,12294,614.7,11679.3,10928,751.3,45663,1,Jan,2025
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",Low,317,13,33,10461,523.05,9937.95,4121,5816.95,45531,8,Aug,2024
Midmarket,France,Paseo,"Midmarket,France,Paseo",Low,32,16,27,864,8.64,855.36,512,343.36,45356,3,Mar,2024
Government,USA,Velo,"Government,USA,Velo",Low,673,13,38,25574,1278.7,24295.3,8749,15546.3,45307,1,Jan,2024
Government,Canada,Carretera,"Government,Canada,Carretera",Low,908,12,29,26332,1316.6,25015.4,10896,14119.4,45354,3,Mar,2024
Small Business,Germany,Carretera,"Small Business,Germany,Carretera",Low,125,15,33,4125,206.25,3918.75,1875,2043.75,45256,11,Nov,2023
Government,USA,Carretera,"Government,USA,Carretera",Low,16,11,19,304,3.04,300.96,176,124.96,45299,1,Jan,2024
Midmarket,Canada,Montana,"Midmarket,Canada,Montana",Low,144,16,24,3456,172.8,3283.2,2304,979.2,45481,7,Jul,2024
Small Business,Germany,Montana,"Small Business,Germany,Montana",Low,846,14,16,13536,676.8,12859.2,11844,1015.2,45254,11,Nov,2023
Government,Canada,Montana,"Government,Canada,Montana",Low,689,12,26,17914,895.7,17018.3,8268,8750.3,45523,8,Aug,2024
Small Business,Germany,Montana,"Small Business,Germany,Montana",Low,44,14,16,704,7.04,696.96,616,80.96,45139,8,Aug,2023
Enterprise,Mexico,Montana,"Enterprise,Mexico,Montana",Low,552,19,33,18216,910.8,17305.2,10488,6817.2,45396,4,Apr,2024
Government,Canada,Paseo,"Government,Canada,Paseo",Low,628,17,38,23864,1193.2,22670.8,10676,11994.8,45107,6,Jun,2023
Enterprise,Germany,Paseo,"Enterprise,Germany,Paseo",Low,64,12,31,1984,99.2,1884.8,768,1116.8,45577,10,Oct,2024
Small Business,Germany,Paseo,"Small Business,Germany,Paseo",Low,765,14,16,12240,612,11628,10710,918,45690,2,Feb,2025
Small Business,USA,Paseo,"Small Business,USA,Paseo",Low,31,10,19,589,5.89,583.11,310,273.11,45468,6,Jun,2024
Government,USA,Paseo,"Government,USA,Paseo",Low,332,20,25,8300,415,7885,6640,1245,45258,11,Nov,2023
Enterprise,France,Paseo,"Enterprise,France,Paseo",Low,82,20,21,1722,86.1,1635.9,1640,-4.1,45565,9,Sep,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",Low,840,17,25,21000,1050,19950,14280,5670,45528,8,Aug,2024
Government,Canada,Paseo,"Government,Canada,Paseo",Low,758,17,38,28804,1440.2,27363.8,12886,14477.8,45191,9,Sep,2023
Government,USA,Paseo,"Government,USA,Paseo",Low,981,20,25,24525,1226.25,23298.75,19620,3678.75,45308,1,Jan,2024
Midmarket,USA,Paseo,"Midmarket,USA,Paseo",Low,721,13,31,22351,1117.55,21233.45,9373,11860.45,45515,8,Aug,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",Low,395,13,33,13035,651.75,12383.25,5135,7248.25,45047,5,May,2023
Government,USA,Paseo,"Government,USA,Paseo",Low,516,20,25,12900,645,12255,10320,1935,45629,12,Dec,2024
Enterprise,Mexico,Paseo,"Enterprise,Mexico,Paseo",Low,257,20,25,6425,321.25,6103.75,5140,963.75,45447,6,Jun,2024
Channel Partners,USA,Velo,"Channel Partners,USA,Velo",Low,292,19,28,8176,408.8,7767.2,5548,2219.2,45471,6,Jun,2024
Government,Canada,Velo,"Government,Canada,Velo",Low,500,18,23,11500,575,10925,9000,1925,45393,4,Apr,2024
Government,France,Velo,"Government,France,Velo",Low,405,19,22,8910,445.5,8464.5,7695,769.5,45636,12,Dec,2024
Channel Partners,France,VTT,"Channel Partners,France,VTT",Low,67,15,36,2412,120.6,2291.4,1005,1286.4,45627,12,Dec,2024
Government,USA,VTT,"Government,USA,VTT",Low,628,13,25,15700,785,14915,8164,6751,45341,2,Feb,2024
